RowID,Date,Year,Location,IndicatorName,IndicatorValue
"Hillsborough County, FLLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Hillsborough County, FL","Life expectancy, female",80.2
"Jefferson County, KYLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Jefferson County, KY","Life expectancy, female",79
"Miami-Dade County, FLLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Miami-Dade County, FL","Life expectancy, female",82.5
"Oklahoma County, OKLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Oklahoma County, OK","Life expectancy, female",78.1
"Shelby County, TNLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Shelby County, TN","Life expectancy, female",77.3
"Wake County, NCLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,"Wake County, NC","Life expectancy, female",82
"Benchmark AverageLife expectancy, female2008",01/01/2008 12:00:00 AM,2008,Benchmark Average,"Life expectancy, female",79.4
"Orleans Parish, LALife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Orleans Parish, LA","Life expectancy, male",70
"Davidson County, TNLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Davidson County, TN","Life expectancy, male",73.2
"East Baton Rouge Parish, LALife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"East Baton Rouge Parish, LA","Life expectancy, male",73
"Fulton County, GALife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Fulton County, GA","Life expectancy, male",74.2
"Hillsborough County, FLLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Hillsborough County, FL","Life expectancy, male",74.9
"Jefferson County, KYLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Jefferson County, KY","Life expectancy, male",73.9
"Miami-Dade County, FLLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Miami-Dade County, FL","Life expectancy, male",77
"Oklahoma County, OKLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Oklahoma County, OK","Life expectancy, male",72.9
"Shelby County, TNLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Shelby County, TN","Life expectancy, male",72
"Wake County, NCLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,"Wake County, NC","Life expectancy, male",78.3
"Benchmark AverageLife expectancy, male2009",01/01/2009 12:00:00 AM,2009,Benchmark Average,"Life expectancy, male",74.4
"Orleans Parish, LALife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Orleans Parish, LA","Life expectancy, female",78.1
"Davidson County, TNLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Davidson County, TN","Life expectancy, female",78.8
"East Baton Rouge Parish, LALife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"East Baton Rouge Parish, LA","Life expectancy, female",78.2
"Fulton County, GALife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Fulton County, GA","Life expectancy, female",79.1
"Hillsborough County, FLLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Hillsborough County, FL","Life expectancy, female",80
"Jefferson County, KYLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Jefferson County, KY","Life expectancy, female",79
"Miami-Dade County, FLLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Miami-Dade County, FL","Life expectancy, female",82.8
"Oklahoma County, OKLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Oklahoma County, OK","Life expectancy, female",77.8
"Shelby County, TNLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Shelby County, TN","Life expectancy, female",77.6
"Wake County, NCLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,"Wake County, NC","Life expectancy, female",82.1
"Benchmark AverageLife expectancy, female2009",01/01/2009 12:00:00 AM,2009,Benchmark Average,"Life expectancy, female",79.5
"Orleans Parish, LALife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Orleans Parish, LA","Life expectancy, male",71.7
"Davidson County, TNLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Davidson County, TN","Life expectancy, male",73.7
"East Baton Rouge Parish, LALife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"East Baton Rouge Parish, LA","Life expectancy, male",73.3
"Fulton County, GALife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Fulton County, GA","Life expectancy, male",74.8
"Hillsborough County, FLLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Hillsborough County, FL","Life expectancy, male",75.6
"Jefferson County, KYLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Jefferson County, KY","Life expectancy, male",74.2
"Miami-Dade County, FLLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Miami-Dade County, FL","Life expectancy, male",77.5
"Oklahoma County, OKLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Oklahoma County, OK","Life expectancy, male",73.3
"Shelby County, TNLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Shelby County, TN","Life expectancy, male",72.5
"Wake County, NCLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,"Wake County, NC","Life expectancy, male",78.7
"Benchmark AverageLife expectancy, male2010",01/01/2010 12:00:00 AM,2010,Benchmark Average,"Life expectancy, male",74.8
"Orleans Parish, LALife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Orleans Parish, LA","Life expectancy, female",79.2
"Davidson County, TNLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Davidson County, TN","Life expectancy, female",79.1
"East Baton Rouge Parish, LALife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"East Baton Rouge Parish, LA","Life expectancy, female",78.7
"Fulton County, GALife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Fulton County, GA","Life expectancy, female",79.6
"Hillsborough County, FLLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Hillsborough County, FL","Life expectancy, female",80.5
"Jefferson County, KYLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Jefferson County, KY","Life expectancy, female",79.1
"Miami-Dade County, FLLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Miami-Dade County, FL","Life expectancy, female",83.5
"Oklahoma County, OKLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Oklahoma County, OK","Life expectancy, female",78.1
"Shelby County, TNLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Shelby County, TN","Life expectancy, female",78.1
"Wake County, NCLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,"Wake County, NC","Life expectancy, female",82.5
"Benchmark AverageLife expectancy, female2010",01/01/2010 12:00:00 AM,2010,Benchmark Average,"Life expectancy, female",79.9
