RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorTable
"Louisville, KY_respop72010_2010",01/01/2010 12:00:00 AM,2010,"Louisville, KY",Population,742227,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Louisville, KY_Calculation_2011",01/01/2011 12:00:00 AM,2011,"Louisville, KY",Population growth,0.584053126604125,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_respop72012_2012",01/01/2012 12:00:00 AM,2012,"Baton Rouge, LA",Population,444296,respop72012,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_Calculation_2012",01/01/2012 12:00:00 AM,2012,"Baton Rouge, LA",Population growth,0.629192920786921,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_respop72014_2014",01/01/2014 12:00:00 AM,2014,"Baton Rouge, LA",Population,446042,respop72014,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_Calculation_2014",01/01/2014 12:00:00 AM,2014,"Baton Rouge, LA",Population growth,0.171353241450866,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_respop72011_2011",01/01/2011 12:00:00 AM,2011,"Baton Rouge, LA",Population,441518,respop72011,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_Calculation_2013",01/01/2013 12:00:00 AM,2013,"Baton Rouge, LA",Population growth,0.221248897131642,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_respop72013_2013",01/01/2013 12:00:00 AM,2013,"Baton Rouge, LA",Population,445279,respop72013,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_respop72010_2010",01/01/2010 12:00:00 AM,2010,"Baton Rouge, LA",Population,440854,respop72010,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
"Baton Rouge, LA_Calculation_2011",01/01/2011 12:00:00 AM,2011,"Baton Rouge, LA",Population growth,0.150616757475264,Calculation,"Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2014"
