RowID,Date,Year,Location,IndicatorName,IndicatorValue,IndicatorID,IndicatorID_old,IndicatorTable
"Miami, FL_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Miami, FL","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",63161,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
Tampa. FL_B19013H_001E_2009,01/01/2009 12:00:00 AM,2009,Tampa. FL,"Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",54227,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Atlanta, GA_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Atlanta, GA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",86432,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Louisville, KY_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Louisville, KY","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",47840,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Baton Rouge, LA_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Baton Rouge, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",54190,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"New Orleans, LA_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"New Orleans, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",58088,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Raleigh, NC_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Raleigh, NC","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",65578,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Oklahoma City, OK_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Oklahoma City, OK","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",50047,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Memphis, TN_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Memphis, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",49015,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Nashville, TN_B19013H_001E_2009",01/01/2009 12:00:00 AM,2009,"Nashville, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",51372,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Miami, FL_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Miami, FL","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",62259,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
Tampa. FL_B19013H_001E_2010,01/01/2010 12:00:00 AM,2010,Tampa. FL,"Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",55979,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Atlanta, GA_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Atlanta, GA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",78842,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Louisville, KY_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Louisville, KY","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",47151,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Baton Rouge, LA_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Baton Rouge, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",47724,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"New Orleans, LA_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"New Orleans, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",57031,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Raleigh, NC_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Raleigh, NC","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",61025,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Oklahoma City, OK_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Oklahoma City, OK","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",49898,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Memphis, TN_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Memphis, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",53216,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Nashville, TN_B19013H_001E_2010",01/01/2010 12:00:00 AM,2010,"Nashville, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",48886,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Miami, FL_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Miami, FL","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",61022,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
Tampa. FL_B19013H_001E_2011,01/01/2011 12:00:00 AM,2011,Tampa. FL,"Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",56008,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Atlanta, GA_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Atlanta, GA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",80667,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Louisville, KY_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Louisville, KY","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",48667,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Baton Rouge, LA_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Baton Rouge, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",57080,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"New Orleans, LA_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"New Orleans, LA","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",61556,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Raleigh, NC_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Raleigh, NC","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",64770,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Oklahoma City, OK_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Oklahoma City, OK","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",49779,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Memphis, TN_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Memphis, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",51361,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Nashville, TN_B19013H_001E_2011",01/01/2011 12:00:00 AM,2011,"Nashville, TN","Median household income in the past 12 months (White Alone, Not Hispanic or Latino Householder)",50547,B19013H_001E,HD01_VD01,"B19013H. Median Household Income (White Alone, Not Hispanic or Latino Householder)"
"Miami, FL_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Miami, FL",Median household income in the past 12 months (Black or African American Alone Householder),22190,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
Tampa. FL_B19013B_001E_2007,01/01/2007 12:00:00 AM,2007,Tampa. FL,Median household income in the past 12 months (Black or African American Alone Householder),30069,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Atlanta, GA_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Atlanta, GA",Median household income in the past 12 months (Black or African American Alone Householder),28984,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Louisville, KY_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Louisville, KY",Median household income in the past 12 months (Black or African American Alone Householder),24236,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Baton Rouge, LA_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Baton Rouge, LA",Median household income in the past 12 months (Black or African American Alone Householder),25949,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"New Orleans, LA_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"New Orleans, LA",Median household income in the past 12 months (Black or African American Alone Householder),27460,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
"Raleigh, NC_B19013B_001E_2007",01/01/2007 12:00:00 AM,2007,"Raleigh, NC",Median household income in the past 12 months (Black or African American Alone Householder),34297,B19013B_001E,HD01_VD01,B19013B. Median Household Income (Black or African American Alone Householder)
