RowID,Date,Year,IndicatorName,IndicatorValue
Average days from case acceptance to disposition by the court2013,01/01/2013 12:00:00 AM,2013,Average days from case acceptance to disposition by the court,197
Average days from case acceptance to disposition by the court2014,01/01/2014 12:00:00 AM,2014,Average days from case acceptance to disposition by the court,273
Average days from case acceptance to disposition by the court2015,01/01/2015 12:00:00 AM,2015,Average days from case acceptance to disposition by the court,253
