RowID,Date,Year,IndicatorName,IndicatorValue
Inmates in Orleans Parish Prison (daily)2-24-2011,02/24/2011,2011,Inmates in Orleans Parish Prison (daily),2859
Inmates in Orleans Parish Prison (daily)2-25-2011,02/25/2011,2011,Inmates in Orleans Parish Prison (daily),2885
Inmates in Orleans Parish Prison (daily)2-26-2011,02/26/2011,2011,Inmates in Orleans Parish Prison (daily),2917
Inmates in Orleans Parish Prison (daily)2-27-2011,02/27/2011,2011,Inmates in Orleans Parish Prison (daily),2948
Inmates in Orleans Parish Prison (daily)2-28-2011,02/28/2011,2011,Inmates in Orleans Parish Prison (daily),2966
Inmates in Orleans Parish Prison (daily)3-1-2011,03/01/2011,2011,Inmates in Orleans Parish Prison (daily),2965
Inmates in Orleans Parish Prison (daily)3-2-2011,03/02/2011,2011,Inmates in Orleans Parish Prison (daily),2923
Inmates in Orleans Parish Prison (daily)3-3-2011,03/03/2011,2011,Inmates in Orleans Parish Prison (daily),2917
Inmates in Orleans Parish Prison (daily)3-4-2011,03/04/2011,2011,Inmates in Orleans Parish Prison (daily),2922
Inmates in Orleans Parish Prison (daily)3-5-2011,03/05/2011,2011,Inmates in Orleans Parish Prison (daily),2924
Inmates in Orleans Parish Prison (daily)3-6-2011,03/06/2011,2011,Inmates in Orleans Parish Prison (daily),2934
Inmates in Orleans Parish Prison (daily)3-7-2011,03/07/2011,2011,Inmates in Orleans Parish Prison (daily),2947
Inmates in Orleans Parish Prison (daily)3-8-2011,03/08/2011,2011,Inmates in Orleans Parish Prison (daily),2944
Inmates in Orleans Parish Prison (daily)3-9-2011,03/09/2011,2011,Inmates in Orleans Parish Prison (daily),2930
Inmates in Orleans Parish Prison (daily)3-10-2011,03/10/2011,2011,Inmates in Orleans Parish Prison (daily),2885
Inmates in Orleans Parish Prison (daily)3-11-2011,03/11/2011,2011,Inmates in Orleans Parish Prison (daily),2846
Inmates in Orleans Parish Prison (daily)3-12-2011,03/12/2011,2011,Inmates in Orleans Parish Prison (daily),2834
